,taxon,plantCommonName,plantWikidata,productCommonName,productWikidata
177,phaseolus vulgaris,climbing beans,http://www.wikidata.org/entity/q42339,phaseoli fructus (sine semine),http://www.wikidata.org/entity/q96068571
178,phaseolus vulgaris,bush beans,http://www.wikidata.org/entity/q42339,phaseoli fructus (sine semine),http://www.wikidata.org/entity/q96068571
179,phaseolus vulgaris,climbing beans,http://www.wikidata.org/entity/q42339,common bean,http://www.wikidata.org/entity/q74662248
180,phaseolus vulgaris,bush beans,http://www.wikidata.org/entity/q42339,common bean,http://www.wikidata.org/entity/q74662248
181,poaceae,grass,http://www.wikidata.org/entity/q43238,grass,http://www.wikidata.org/entity/q66429760
182,poaceae,grass,http://www.wikidata.org/entity/q43238,cereal grain,http://www.wikidata.org/entity/q12117
183,poaceae,grass,http://www.wikidata.org/entity/q43238,grain,http://www.wikidata.org/entity/q2995529
184,poaceae,grass,http://www.wikidata.org/entity/q43238,hay,http://www.wikidata.org/entity/q336989
185,brassica oleracea,cabbages,http://www.wikidata.org/entity/q146212,,
186,brassica oleracea var. gemmifera,brussell sprouts,http://www.wikidata.org/entity/q146212,,
187,ruta graveolens,rue,http://www.wikidata.org/entity/q25062,,
188,satureja,savory,http://www.wikidata.org/entity/q22858,,
189,tagetes,marigold,http://www.wikidata.org/entity/q147552,,
190,cucurbita,squash,http://www.wikidata.org/entity/q5339301,,
191,lavandula,lavender,http://www.wikidata.org/entity/q171892,,
192,tanacetum vulgare,tansy,http://www.wikidata.org/entity/q27079,,
193,brassica,mustard,http://www.wikidata.org/entity/q58677,,
194,nasturtium,nasturtium,http://www.wikidata.org/entity/q161068,,
195,nasturtium,nasturtiums,http://www.wikidata.org/entity/q161068,,
