provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
Alternate,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Doubtful host,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Experimental,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
Host,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
Major host,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
Wild/Weed,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
