"","codeid","fullname","eppocode"
"281",40775,"Plantago ovata","PLAOV"
"282",40994,"Poa annua","POAAN"
"283",41022,"Poa supina","POASU"
"284",41051,"Podocarpus salignus","PODSA"
"285",41078,"Polygala japonica","POGJA"
"286",41106,"Polystichum munitum","POIMU"
"287",41158,"Polygonum equisetiforme","POLEQ"
"288",65916,"Cladium californicum","CLKCA"
"289",41226,"Polygonum taquettii","POLTA"
"290",41309,"Portulaca grandiflora","PORGR"
"291",41587,"Prunus humilis","PRNHU"
"292",41599,"Prunus laurocerasus","PRNLR"
"293",41616,"Prunus x nigrella","PRNNG"
"294",41617,"Prunus nigra","PRNNI"
"295",41706,"Parthenocissus quinquefolia","PRTQU"
"296",42008,"Pittosporum crassifolium","PTUCR"
"297",42263,"Pyrus calleryana","PYUCA"
"298",42278,"Pyrus pyrifolia var. culta","PYUPC"
"299",42283,"Pyrus pyrifolia","PYUPY"
"300",42547,"Ranunculus muricatus","RANMU"
"301",42599,"Ratibida columnifera","RATCO"
"302",42671,"Reseda luteola","RESLT"
"303",42699,"Rhamnus alaternus","RHAAL"
"304",42711,"Frangula alnus","RHAFR"
"305",42773,"Rheum officinale","RHEOF"
"306",43138,"Rhus chinensis","RHUCH"
"307",43202,"Ribes distans","RIBDS"
"308",43219,"Ribes x houghtonianum","RIBHG"
"309",43277,"Ribes viburnifolium","RIBVB"
"310",43342,"Robinia pseudoacacia","ROBPS"
"311",43415,"Rosa brunonii","ROSBU"
"312",43486,"Rosa moschata","ROSMS"
"313",43487,"Rosa multiflora","ROSMU"
"314",43633,"Rubus bellobatus","RUBBE"
"315",43634,"Rubus bifrons","RUBBF"
"316",43653,"Rubus crataegifolius","RUBCR"
"317",43656,"Rubus cuneifolius","RUBCU"
"318",43663,"Rubus frondosus","RUBFD"
"319",43667,"Rubus fruticosus","RUBFR"
"320",43685,"Rubus lambertianus","RUBLB"
"321",43705,"Rubus nessensis","RUBNS"
"322",43752,"Rubus ulmifolius","RUBUL"
"323",43795,"Rumex acetosella","RUMAA"
"324",43799,"Rumex alpinus","RUMAL"
"325",43813,"Rumex dentatus","RUMDE"
"326",43826,"Rumex maritimus","RUMMA"
"327",43848,"Rumex tenuifolius","RUMTE"
"328",43910,"Samolus parviflorus","SADPA"
"329",43943,"Sagittaria sagittifolia","SAGSA"
"330",43946,"Sagittaria sagittifolia var. longiloba","SAGSL"
"331",43950,"Sagittaria trifolia","SAGTR"
"332",44530,"Scorzonera undulata","SCVUN"
"333",44606,"Sedum album","SEDAL"
"334",45059,"Silene gallica","SILGA"
"335",45061,"Silene gallica var. quinquevulnera","SILGQ"
"336",45363,"Solanum tuberosum subsp. andigenum","SOLAD"
"337",45449,"Solanum melongena","SOLME"
"338",45454,"Solanum melongena var. serpentinum","SOLMS"
"339",45504,"Solanum tuberosum","SOLTU"
"340",45545,"Solidago missouriensis","SOOMS"
"341",45629,"Sorbus hybrida","SOUHY"
"342",45736,"Sparganium erectum","SPGER"
"343",45743,"Sparganium stoloniferum","SPGST"
"344",46056,"Sisymbrium crassifolium","SSYCR"
"345",46060,"Sisymbrium irio","SSYIR"
"346",46085,"Stachys palustris","STAPA"
"347",46194,"Satureja montana","STIMO"
"348",46294,"Saururus cernuus","SUACE"
"349",46338,"Stevia rebaudiana","SVARE"
"350",46379,"Stewartia pseudocamellia","SWTPS"
"351",46511,"Syzygium paniculatum","SYZPA"
"352",46541,"Tamarix aphylla","TAAAP"
"353",46550,"Tamarix ramosissima","TAAPE"
"354",46577,"Tagetes minuta","TAGMI"
"355",46578,"Tagetes patula","TAGPA"
"356",46915,"Platycladus orientalis","THUOR"
"357",46955,"Tilia amurensis","TILAU"
"358",46956,"Tilia caroliniana","TILCA"
"359",46966,"Tilia heterophylla","TILHT"
"360",46969,"Tilia japonica","TILJA"
"361",46972,"Tilia mongolica","TILMG"
"362",46983,"Tilia tomentosa","TILTO"
"363",46984,"Tilia tuan","TILTU"
"364",47168,"Toxicodendron pubescens","TOXQU"
"365",47169,"Toxicodendron radicans","TOXRA"
"366",47189,"Triphasia trifolia","TPHTR"
"367",47317,"Trifolium repens","TRFRE"
"368",47319,"Trifolium repens var. giganteum","TRFRG"
"369",47374,"Trifolium ornithopodioides","TRKOR"
"370",47535,"Tetrapanax papyrifer","TTPPA"
"371",47587,"Tulipa montana","TULMO"
"372",47619,"Tupeia antarctica","TUPAN"
"373",47971,"Veratrum californicum","VEACA"
"374",48122,"Veronica peregrina","VERPG"
"375",48125,"Veronica peregrina var. pubescens","VERPP"
"376",48127,"Veronica peregrina var. xalepensis","VERPX"
"377",48200,"Viburnum lantana","VIBLA"
"378",48202,"Viburnum lantanoides","VIBLN"
"379",48336,"Vinca minor","VINMI"
"380",48351,"Viola glabella","VIOGL"
"381",48370,"Viola sororia","VIOPP"
"382",48426,"Vitis labrusca","VITLA"
"383",48893,"Zanthoxylum piperitum","ZANPI"
"384",63039,"Crataegus macrosperma","CSCMA"
"385",63072,"Gentiana scabra","GETSC"
"386",32159,"Eurya japonica","EUYJA"
"387",63141,"Lilium japonicum","LILJA"
"388",40422,"Pisum sativum","PIBSX"
"389",66077,"Cupressus sempervirens var. horizontalis","CVBSH"
"390",66122,"Pinus discolor","PIUDR"
"391",66410,"Ratibida columnifera var. pulcherrima","RATPU"
"392",66532,"Crataegus cuneata","CSCCU"
"393",66597,"Asclepias pumila","ASCPM"
"394",67141,"Galium tinctorium","GALTI"
"395",40289,"Photinia x fraseri","PHNFR"
"396",70243,"Conandron ramondioides","KONRA"
"397",70244,"Conandron ramondioides f. pilosum","KONRP"
"398",70391,"Honckenya peploides subsp. major","HOKPM"
"399",70443,"Meehania urticifolia","MHIUR"
"400",70456,"Boehmeria nipononivea","BOHNN"
"401",70503,"Diphylleia grayi","DLAGR"
"402",73330,"Phytophthora pinifolia","PHYTPF"
"403",32076,"Euonymus europaeus","EUOEU"
"404",76081,"Delphinium semibarbatum","DELSE"
"405",76282,"Anemarrhena asphodeloides","NMRAS"
"406",76342,"Heuchera americana","HCHAM"
"407",76681,"Gentiana andrewsii","GETAN"
"408",77360,"Penthorum sedoides","PNVSE"
"409",77810,"Collinsonia canadensis","CIZCA"
"410",41136,"Persicaria barbata","POLBA"
"411",35260,"Juglans regia var. orientis","IUGSI"
"412",78748,"Hololeion krameri","HOXKR"
"413",26264,"Clinopodium menthifolium","CATSY"
"414",80145,"Xanthisma grindelioides","XTHGR"
"415",80820,"Bloomeria crocea","BQOCR"
"416",80891,"Opuntia macrorhiza","OPUMR"
"417",38940,"Olea europaea","OLVEU"
"418",43800,"Rumex acetosella subsp. pyrenaicus","RUMAN"
"419",39958,"Persea borbonia","PEBBO"
"420",41256,"Populus x jackii","POPBS"
"421",84125,"Humulus japonicus latent virus","HJLV00"
"422",84175,"Salix gooddingii","SAXGO"
"423",84216,"Malus asiatica","MABAC"
"424",26225,"Senna marilandica","CASMA"
"425",42713,"Rhamnus alaternus x R. alpina","RHAHY"
"426",84588,"Tilia petiolaris","TILPE"
"427",84740,"Erysimum capitatum","ERYCA"
"428",84803,"Poa infirma","POAIN"
"429",43738,"Rubus sieboldii","RUBSI"
"430",84811,"Lupinus wyethii subsp. wyethii","LUPHU"
"431",84925,"Trifolium macrocephalum","TRFMK"
"432",84930,"Juniperus oxycedrus subsp. badia","IUPOB"
"433",84931,"Juniperus oxycedrus subsp. transtagana","IUPNA"
"434",85106,"Trifolium repens var. nevadense","TRFRN"
"435",66292,"Medicago sativa subsp. microcarpa","MEDCA"
"436",85212,"Lathyrus palustris subsp. nudicaulis","LTHNU"
"437",85375,"Calendula tripterocarpa","CLDTR"
"438",85683,"Monardella odoratissima","MNLOD"
"439",85886,"Triteleia ixioides","TIEIX"
"440",36827,"Lupinus x regalis","LUPPH"
"441",87073,"Actaea simplex","AATSI"
"442",87204,"Osmorhiza aristata","OMRAR"
"443",87482,"Dodonaea viscosa subsp. cuneata","DODVC"
"444",87483,"Dodonaea viscosa subsp. angustissima","DODAS"
"445",43329,"Robinia x ambigua","ROBAM"
"446",88380,"Lycopodium annotinum","LYOAN"
"447",88381,"Lycopodium annotinum subsp. alpestre","LYOAA"
"448",88382,"Lycopodium dubium","LYODU"
"449",88466,"Equisetum x willmottii","EQUWI"
"450",88467,"Equisetum x dycei","EQUDY"
"451",88702,"Brassica cretica","BRSCR"
"452",88802,"Rumex acetosella subsp. multifidus","RUMAM"
"453",26899,"Dysphania schraderiana","CHESH"
"454",88854,"Chenopodium probstii","CHEPB"
"455",89265,"Cochlearia pyrenaica","CCLPY"
"456",89269,"Cochlearia scotica","CCLSC"
"457",89270,"Cochlearia aestuaria","CCLAE"
"458",25783,"Brassica oleracea var. botrytis","BRSOB"
"459",89969,"Paronychia capitata","PAYCP"
"460",44690,"Jacobaea maritima","SENBI"
"461",90051,"Lepidium apetalum","LEPAP"
"462",90113,"Sedum album subsp. micranthum","SEDAM"
"463",90307,"Paeonia officinalis subsp. microcarpa","PAOOM"
"464",90309,"Paeonia mascula","PAOMA"
"465",90343,"Fumaria officinalis subsp. wirtgenii","FUMWI"
"466",90356,"Corydalis cava","COYCV"
"467",90364,"Corydalis intermedia","COYIN"
"468",90477,"Laportea bulbifera","LAOBU"
"469",90581,"Photinia villosa","PHNVL"
"470",90682,"Pelargonium glutinosum","PELGL"
"471",90814,"Euphorbia helioscopia subsp. helioscopioides","EPHHH"
"472",90926,"Pistacia x saportae","PIARA"
"473",90927,"Acer campestre var. leiocarpum","ACRCK"
"474",91182,"Cochlearia islandica","CCLIS"
"475",91207,"Paeonia japonica","PAOJA"
"476",91372,"Rhamnus alaternus subsp. myrtifolia","RHAAM"
"477",91576,"Elaeagnus x reflexa","ELGRE"
"478",92039,"Ledum macrophyllum","LEDPD"
"479",92350,"Olea europaea subsp. cerasiformis","OLVEC"
"480",93074,"Ajuga x pseudopyramidalis","AIUPP"
"481",88215,"Parasenecio delphiniifolius","CACDE"
"482",46925,"Thymbra capitata","THYCA"
"483",93451,"Satureja cuneifolia","STICU"
"484",46192,"Clinopodium nepeta","STICA"
"485",26262,"Clinopodium nepeta subsp. ascendens","CATSA"
"486",93565,"Anthoxanthum ovatum","AOXOV"
"487",45334,"Styphnolobium japonicum","SOBJA"
"488",31030,"Elaeagnus x submacrophylla","ELGEB"
"489",94438,"Carex reuteriana","CRXET"
"490",94571,"Asphodelus aestivus","ASHAE"
"491",94573,"Asphodelus cerasiferus","ASHCE"
"492",94574,"Asphodelus albus subsp. delphinensis","ASHDE"
"493",94578,"Asphodelus macrocarpus","ASHMA"
"494",94579,"Asphodelus serotinus","ASHSE"
"495",94801,"Codonopsis ussuriensis","CDWUS"
"496",95339,"Campanula hispanica","CMPHI"
"497",95352,"Campanula versicolor","CMPVE"
"498",96068,"Scorzonera parviflora","SCVPF"
"499",96188,"Sparganium erectum subsp. microcarpum","SPGMC"
"500",96189,"Sparganium erectum subsp. neglectum","SPGNE"
"501",96190,"Sparganium erectum subsp. oocarpum","SPGOO"
"502",96354,"Phyteuma nigrum","PYTNI"
"503",48221,"Viburnum x rhytidophylloides","VIBRD"
"504",96831,"Juncus effusus subsp. laxus","IUNEL"
"505",96844,"Cirsium purpuratum","CIRPR"
"506",96875,"Ornithogalum divergens","OTGDI"
"507",96878,"Ornithogalum gussonei","OTGGU"
"508",97333,"Cupressus sempervirens var. horizontalis","CVBMH"
"509",97487,"Galanthus nivalis subsp. reginae-olgae","GAXRO"
"510",97563,"Phyteuma japonicum","PYTJA"
"511",94400,"Solanum lycopersicum + Solanum tuberosum","SOLLT"
"512",26869,"Oxybasis glauca","CHEGL"
"513",97860,"Corydalis cava subsp. marschalliana","COYCM"
"514",85105,"Trifolium occidentale","TRFRP"
"515",98681,"Phyteuma spicatum","PYTSP"
"516",98684,"Phyteuma ovatum","PYTOV"
"517",98783,"Clintonia udensis","CJXUD"
"518",90308,"Paeonia officinalis subsp. huthii","PAOOV"
"519",22067,"Callianthe striata","ABUST"
"520",99018,"Callianthe picta","CIWPI"
"521",99161,"Thymbra spicata","TBQSP"
"522",99294,"Eucalyptus caesia","EUCCE"
"523",99565,"Meconopsis grandis","MEPGR"
"524",99569,"Erythranthe lutea","MIULU"
"525",99678,"Campanula alaskana","CMPAK"
"526",99887,"Clematis alternata","CLVAT"
"527",40293,"Photinia serratifolia","PHNSE"
"528",99919,"Hosta fortunei","HSTFO"
"529",100118,"Lophomyrtus x ralphii","LOYRA"
"530",31863,"Erysimum virgatum","ERYHI"
"531",100131,"Echinacea tennesseensis","ECETE"
"532",100244,"Dryopteris marginalis","DYOMA"
"533",100369,"Paeonia officinalis subsp. banatica","PAOOB"
"534",35859,"Rhododendron tomentosum","LEDPA"
"535",100380,"Dendrobium nobile","DENNO"
"536",42723,"Frangula purshiana","RHAPU"
"537",27259,"x Citrofortunella floridana","CJFFL"
"538",67613,"x Citrofortunella swinglei","CJFSW"
"539",63106,"+ Crataegomespilus dardarii","CXQDA"
"540",64218,"Lobelia x speciosa","LOBGE"
"541",102383,"Malva oxyloba","MALOX"
"542",102475,"Carex elata subsp. omskiana","CRXEO"
"543",103016,"Vitis vinifera x Vitis labrusca","VITVL"
"544",104600,"Acer campestre subsp. marsicum","ACRKM"
"545",105484,"Paeonia daurica subsp. coriifolia","PAODC"
"546",37296,"x Macludrania hybrida","MCLHY"
"547",111069,"Trigonotis icumae","TRIIC"
"548",35480,"Aster yomena var. dentatus","KASPY"
"549",111463,"Leontopodium discolor","LNPDI"
"550",45616,"Karpatiosorbus hybrida","SOUDE"
"551",111693,"Codonopsis ussuriensis","CDWMI"
"552",111831,"Polygonatum falcatum","PGTFA"
"553",111911,"Pistacia aethiopica","PIAAE"
"554",112059,"Monotropa uniflora","MTOUN"
"555",112132,"Lathyrus pilosus","LTHPJ"
"556",34710,"Chrysojasminum humile","IASHU"
"557",112904,"Micromeria biflora","MMJBI"
"558",112958,"Olea europaea subsp. laperrinei","OLVLP"
"559",69689,"Chamaelirium japonicum","KNFJA"
"560",114238,"Caltha natans","CTANA"
