,v1,taxon_v1,v2,taxon_v2,rel
3381,rue,ruta graveolens,basil,ocimum basilicum,antagonistic
3383,rue,ruta graveolens,cabbage,brassica oleracea,antagonistic
3384,rue,ruta graveolens,raspberry,rubus idaeus,companion
3388,rue,ruta graveolens,rose,rosa,companion
3394,rue,ruta graveolens,sage,salvia officinalis,antagonistic
3396,sage,salvia officinalis,bean,phaseolus,companion
3398,sage,salvia officinalis,cabbage,brassica oleracea,companion
3400,sage,salvia officinalis,carrot,daucus carota,companion
3406,sage,salvia officinalis,cucumber,cucumis sativus,antagonistic
3412,sage,salvia officinalis,grass,poaceae,antagonistic
3420,sage,salvia officinalis,parsnip,pastinaca sativa,companion
3422,sage,salvia officinalis,rosemary,salvia rosmarinus,companion
3428,sage,salvia officinalis,rose,rosa,companion
3440,sage,salvia officinalis,rue,ruta graveolens,antagonistic
3442,sage,salvia officinalis,strawberry,fragaria,companion
3444,savory,satureja,bean,phaseolus,companion
3445,savory,satureja,onion,allium cepa,companion
3447,silverbeet,beta vulgaris var. flavescens,basil,ocimum basilicum,antagonistic
3449,silverbeet,beta vulgaris var. flavescens,beet,beta vulgaris,companion
3451,silverbeet,beta vulgaris var. flavescens,cherry,prunus subg. cerasus ,companion
3453,silverbeet,beta vulgaris var. flavescens,fruit tree,,companion
3454,silverbeet,beta vulgaris var. flavescens,lavender,lavandula,companion
3455,silverbeet,beta vulgaris var. flavescens,marjoram,origanum majorana,companion
3457,silverbeet,beta vulgaris var. flavescens,onion,allium cepa,companion
3459,spinach,spinacia oleracea,apricot,prunus armeniaca,companion
3466,spinach,spinacia oleracea,broad bean,vicia faba,companion
3468,spinach,spinacia oleracea,cherry,prunus subg. cerasus ,companion
3470,spinach,spinacia oleracea,fruit tree,,companion
3471,spinach,spinacia oleracea,marjoram,origanum majorana,companion
3473,spinach,spinacia oleracea,strawberry,fragaria,companion
3474,squash,cucurbita,borage,borago officinalis,companion
3481,squash,cucurbita,corn,zea mays,companion
3490,squash,cucurbita,marjoram,origanum majorana,companion
3492,squash,cucurbita,nasturtium,nasturtium,companion
3494,squash,cucurbita,sunﬂower,helianthus annuus,companion
3497,squash,cucurbita,tansy,tanacetum vulgare,companion
3498,stinging nettle,urtica dioica,apricot,prunus armeniaca,companion
3533,stinging nettle,urtica dioica,fruit tree,,companion
3538,stinging nettle,urtica dioica,horseradish,armoracia rusticana,companion
3548,stinging nettle,urtica dioica,tomato,solanum lycopersicum,companion
3558,strawberry,fragaria,borage,borago officinalis,companion
3565,strawberry,fragaria,bush bean,phaseolus vulgaris,companion
3569,strawberry,fragaria,cabbage,brassica oleracea,antagonistic
3570,strawberry,fragaria,chives,allium schoenoprasum,companion
3572,strawberry,fragaria,garlic,allium sativum,antagonistic
3574,strawberry,fragaria,lavender,lavandula,companion
3575,strawberry,fragaria,lettuce,lactuca sativa,companion
3580,strawberry,fragaria,marigold,tagetes,companion
3581,strawberry,fragaria,onion,allium cepa,companion
3583,strawberry,fragaria,sage,salvia officinalis,companion
3585,strawberry,fragaria,spinach,spinacia oleracea,companion
3586,sunﬂower,helianthus annuus,apricot,prunus armeniaca,companion
3607,sunﬂower,helianthus annuus,bush bean,phaseolus vulgaris,companion
3619,sunﬂower,helianthus annuus,climbing bean,phaseolus vulgaris,antagonistic
3631,sunﬂower,helianthus annuus,cucumber,cucumis sativus,companion
3640,tomato,solanum lycopersicum,apricot,prunus armeniaca,antagonistic
3654,tomato,solanum lycopersicum,asparagus,asparagus officinalis,companion
3658,tomato,solanum lycopersicum,basil,ocimum basilicum,companion
3662,tomato,solanum lycopersicum,beet,beta vulgaris,antagonistic
3666,tomato,solanum lycopersicum,borage,borago officinalis,companion
3680,tomato,solanum lycopersicum,cabbage,brassica oleracea,antagonistic
3682,tomato,solanum lycopersicum,carrot,daucus carota,companion
3688,tomato,solanum lycopersicum,celery,apium graveolens,companion
3696,tomato,solanum lycopersicum,chives,allium schoenoprasum,companion
3700,tomato,solanum lycopersicum,dill,anethum graveolens,companion
3706,tomato,solanum lycopersicum,fennel,foeniculum vulgare,antagonistic
3718,tomato,solanum lycopersicum,gooseberry,ribes uva-crispa,companion
3722,tomato,solanum lycopersicum,grape vine,vitis vinifera,companion
3740,tomato,solanum lycopersicum,marigold,tagetes,companion
3742,tomato,solanum lycopersicum,marjoram,origanum majorana,companion
3746,tomato,solanum lycopersicum,mint,mentha,companion
3750,tomato,solanum lycopersicum,nasturtium,nasturtium,companion
3754,tomato,solanum lycopersicum,onion,allium cepa,companion
3758,tomato,solanum lycopersicum,parsley,petroselinum crispum,companion
3768,tomato,solanum lycopersicum,parsnip,pastinaca sativa,companion
3770,tomato,solanum lycopersicum,rosemary,salvia rosmarinus,antagonistic
3776,yarrow,achillea millefolium,apricot,prunus armeniaca,companion
3790,yarrow,achillea millefolium,chervil,anthriscus cerefolium,companion
3794,yarrow,achillea millefolium,fruit tree,,companion
3796,yarrow,achillea millefolium,grape vine,vitis vinifera,companion
3814,yarrow,achillea millefolium,grass,poaceae,companion
3822,yarrow,achillea millefolium,tansy,tanacetum vulgare,companion
3824,zucchini,cucurbita pepo,corn,zea mays,companion
3869,zucchini,cucurbita pepo,marjoram,origanum majorana,companion
3879,zucchini,cucurbita pepo,nasturtium,nasturtium,companion
